number;question;answer
603;What is the total supply of VeChain (VET)?;The total supply of VeChain (VET) is 86 billion
604;What was the all-time high price of VeChain (VET)?;The all-time high price of VeChain (VET) was $0.28
605;What was the all-time low price of VeChain (VET)?;The all-time low price of VeChain (VET) was $0.0016
606;What is the market cap of Solana (SOL)?;The market cap of Solana (SOL) is currently $45 billion
607;How many Solana (SOL) tokens are in circulation?;There are currently 270 million Solana (SOL) tokens in circulation
608;What is the total supply of Solana (SOL)?;The total supply of Solana (SOL) is 500 million
609;What was the all-time high price of Solana (SOL)?;The all-time high price of Solana (SOL) was $260
610;What was the all-time low price of Solana (SOL)?;The all-time low price of Solana (SOL) was $0.50
611;What is the market cap of Uniswap (UNI)?;The market cap of Uniswap (UNI) is currently $12 billion
612;How many Uniswap (UNI) tokens are in circulation?;There are currently 600 million Uniswap (UNI) tokens in circulation
613;What is the total supply of Uniswap (UNI)?;The total supply of Uniswap (UNI) is 1 billion
614;What was the all-time high price of Uniswap (UNI)?;The all-time high price of Uniswap (UNI) was $45
615;What was the all-time low price of Uniswap (UNI)?;The all-time low price of Uniswap (UNI) was $1.03
616;What is the market cap of Theta (THETA)?;The market cap of Theta (THETA) is currently $8 billion
617;How many Theta (THETA) tokens are in circulation?;There are currently 1 billion Theta (THETA) tokens in circulation
618;What is the total supply of Theta (THETA)?;The total supply of Theta (THETA) is 1 billion
619;What was the all-time high price of Theta (THETA)?;The all-time high price of Theta (THETA) was $15.72
620;What was the all-time low price of Theta (THETA)?;The all-time low price of Theta (THETA) was $0.04
621;What is the market cap of TRON (TRX)?;The market cap of TRON (TRX) is currently $7 billion
622;How many TRON (TRX) tokens are in circulation?;There are currently 72 billion TRON (TRX) tokens in circulation
623;What is the total supply of TRON (TRX)?;The total supply of TRON (TRX) is 100 billion
624;What was the all-time high price of TRON (TRX)?;The all-time high price of TRON (TRX) was $0.30
625;What was the all-time low price of TRON (TRX)?;The all-time low price of TRON (TRX) was $0.0011
626;What is the market cap of Monero (XMR)?;The market cap of Monero (XMR) is currently $4 billion
627;How many Monero (XMR) tokens are in circulation?;There are currently 18 million Monero (XMR) tokens in circulation
628;What is the total supply of Monero (XMR)?;Monero (XMR) does not have a capped total supply
629;What was the all-time high price of Monero (XMR)?;The all-time high price of Monero (XMR) was $517
630;What was the all-time low price of Monero (XMR)?;The all-time low price of Monero (XMR) was $0.21
631;What is the market cap of IOTA (MIOTA)?;The market cap of IOTA (MIOTA) is currently $4 billion
632;How many IOTA (MIOTA) tokens are in circulation?;There are currently 2.7 billion IOTA (MIOTA) tokens in circulation
633;What is the total supply of IOTA (MIOTA)?;The total supply of IOTA (MIOTA) is 2.8 billion
634;What was the all-time high price of IOTA (MIOTA)?;The all-time high price of IOTA (MIOTA) was $5.69
635;What was the all-time low price of IOTA (MIOTA)?;The all-time low price of IOTA (MIOTA) was $0.14
636;What is the market cap of Aave (AAVE)?;The market cap of Aave (AAVE) is currently $4 billion
637;How many Aave (AAVE) tokens are in circulation?;There are currently 13 million Aave (AAVE) tokens in circulation
638;What is the total supply of Aave (AAVE)?;The total supply of Aave (AAVE) is 16 million
639;What was the all-time high price of Aave (AAVE)?;The all-time high price of Aave (AAVE) was $666
640;What was the all-time low price of Aave (AAVE)?;The all-time low price of Aave (AAVE) was $26
641;What is the market cap of EOS?;The market cap of EOS is currently $5 billion
642;How many EOS tokens are in circulation?;There are currently 950 million EOS tokens in circulation
643;What is the total supply of EOS?;The total supply of EOS is 1 billion
644;What was the all-time high price of EOS?;The all-time high price of EOS was $22.89
645;What was the all-time low price of EOS?;The all-time low price of EOS was $0.50
646;What is the market cap of NEO?;The market cap of NEO is currently $3 billion
647;How many NEO tokens are in circulation?;There are currently 70 million NEO tokens in circulation
648;What is the total supply of NEO?;The total supply of NEO is 100 million
649;What was the all-time high price of NEO?;The all-time high price of NEO was $196
650;What was the all-time low price of NEO?;The all-time low price of NEO was $0.08
651;What is the market cap of Cosmos (ATOM)?;The market cap of Cosmos (ATOM) is currently $4 billion
652;How many Cosmos (ATOM) tokens are in circulation?;There are currently 250 million Cosmos (ATOM) tokens in circulation
653;What is the total supply of Cosmos (ATOM)?;The total supply of Cosmos (ATOM) is 290 million
654;What was the all-time high price of Cosmos (ATOM)?;The all-time high price of Cosmos (ATOM) was $32
655;What was the all-time low price of Cosmos (ATOM)?;The all-time low price of Cosmos (ATOM) was $1.16
656;What is the market cap of Zcash (ZEC)?;The market cap of Zcash (ZEC) is currently $2 billion
657;How many Zcash (ZEC) tokens are in circulation?;There are currently 11 million Zcash (ZEC) tokens in circulation
658;What is the total supply of Zcash (ZEC)?;The total supply of Zcash (ZEC) is 21 million
659;What was the all-time high price of Zcash (ZEC)?;The all-time high price of Zcash (ZEC) was $3,191
660;What was the all-time low price of Zcash (ZEC)?;The all-time low price of Zcash (ZEC) was $19
661;What is the market cap of Dash (DASH)?;The market cap of Dash (DASH) is currently $2 billion
662;How many Dash (DASH) tokens are in circulation?;There are currently 10 million Dash (DASH) tokens in circulation
663;What is the total supply of Dash (DASH)?;The total supply of Dash (DASH) is 18 million
664;What was the all-time high price of Dash (DASH)?;The all-time high price of Dash (DASH) was $1,642
665;What was the all-time low price of Dash (DASH)?;The all-time low price of Dash (DASH) was $0.21
666;What is the market cap of Tezos (XTZ)?;The market cap of Tezos (XTZ) is currently $3 billion
667;How many Tezos (XTZ) tokens are in circulation?;There are currently 900 million Tezos (XTZ) tokens in circulation
668;What is the total supply of Tezos (XTZ)?;The total supply of Tezos (XTZ) is not fixed
669;What was the all-time high price of Tezos (XTZ)?;The all-time high price of Tezos (XTZ) was $8.70
670;What was the all-time low price of Tezos (XTZ)?;The all-time low price of Tezos (XTZ) was $0.31
671;What is the market cap of Maker (MKR)?;The market cap of Maker (MKR) is currently $3 billion
672;How many Maker (MKR) tokens are in circulation?;There are currently 1 million Maker (MKR) tokens in circulation
673;What is the total supply of Maker (MKR)?;The total supply of Maker (MKR) is 1 million
674;What was the all-time high price of Maker (MKR)?;The all-time high price of Maker (MKR) was $6,292
675;What was the all-time low price of Maker (MKR)?;The all-time low price of Maker (MKR) was $21
676;What is the market cap of Compound (COMP)?;The market cap of Compound (COMP) is currently $2 billion
677;How many Compound (COMP) tokens are in circulation?;There are currently 5 million Compound (COMP) tokens in circulation
678;What is the total supply of Compound (COMP)?;The total supply of Compound (COMP) is 10 million
679;What was the all-time high price of Compound (COMP)?;The all-time high price of Compound (COMP) was $911
680;What was the all-time low price of Compound (COMP)?;The all-time low price of Compound (COMP) was $61
681;What is the market cap of Elrond (EGLD)?;The market cap of Elrond (EGLD) is currently $5 billion
682;How many Elrond (EGLD) tokens are in circulation?;There are currently 20 million Elrond (EGLD) tokens in circulation
683;What is the total supply of Elrond (EGLD)?;The total supply of Elrond (EGLD) is 31 million
684;What was the all-time high price of Elrond (EGLD)?;The all-time high price of Elrond (EGLD) was $545
685;What was the all-time low price of Elrond (EGLD)?;The all-time low price of Elrond (EGLD) was $6.50
686;What is the market cap of Kusama (KSM)?;The market cap of Kusama (KSM) is currently $2 billion
687;How many Kusama (KSM) tokens are in circulation?;There are currently 9 million Kusama (KSM) tokens in circulation
688;What is the total supply of Kusama (KSM)?;The total supply of Kusama (KSM) is 10 million
689;What was the all-time high price of Kusama (KSM)?;The all-time high price of Kusama (KSM) was $621
